created_at,entry_id,humidity (%),temperature (DegCel),light intensity
2022-02-15T00:00:16+01:00,1,78,26.8,"1024.00

"
2022-02-15T00:00:32+01:00,2,78,26.7,"1024.00

"
2022-02-15T00:00:47+01:00,3,78,26.7,"1024.00

"
2022-02-15T00:01:04+01:00,4,78,26.7,"1024.00

"
2022-02-15T00:01:19+01:00,5,78,26.7,"1024.00

"
2022-02-15T00:01:40+01:00,6,79,26.6,"1024.00

"
2022-02-15T00:01:55+01:00,7,79,26.6,"1024.00

"
2022-02-15T00:02:11+01:00,8,79,26.6,"1024.00

"
2022-02-15T00:02:26+01:00,9,79,26.6,"1024.00

"
2022-02-15T00:02:42+01:00,10,79,26.5,"1024.00

"
2022-02-15T00:02:57+01:00,11,79,26.5,"1024.00

"
2022-02-15T00:03:13+01:00,12,79,26.5,"1024.00

"
2022-02-15T00:03:29+01:00,13,79,26.5,"1024.00

"
2022-02-15T00:03:45+01:00,14,79,26.5,"1024.00

"
2022-02-15T00:04:02+01:00,15,79,26.5,"1024.00

"
2022-02-15T00:04:21+01:00,16,79,26.6,"1024.00

"
2022-02-15T00:04:37+01:00,17,79,26.5,"1024.00

"
2022-02-15T00:04:54+01:00,18,79,26.5,"1024.00

"
2022-02-15T00:05:09+01:00,19,79,26.5,"1024.00

"
2022-02-15T00:05:25+01:00,20,79,26.5,"1024.00

"
2022-02-15T00:05:41+01:00,21,79,26.5,"1024.00

"
2022-02-15T00:05:58+01:00,22,79,26.5,"1024.00

"
2022-02-15T00:06:14+01:00,23,79,26.5,"1024.00

"
2022-02-15T00:06:30+01:00,24,79,26.4,"1024.00

"
2022-02-15T00:06:46+01:00,25,79,26.4,"1024.00

"
2022-02-15T00:07:01+01:00,26,79,26.5,"1024.00

"
2022-02-15T00:07:17+01:00,27,79,26.5,"1024.00

"
2022-02-15T00:07:34+01:00,28,79,26.5,"1024.00

"
2022-02-15T00:07:50+01:00,29,79,26.5,"1024.00

"
2022-02-15T00:08:06+01:00,30,79,26.5,"1024.00

"
2022-02-15T00:08:22+01:00,31,79,26.5,"1024.00

"
2022-02-15T00:08:38+01:00,32,79,26.5,"1024.00

"
2022-02-15T00:08:53+01:00,33,79,26.4,"1024.00

"
2022-02-15T00:09:09+01:00,34,79,26.5,"1024.00

"
2022-02-15T00:09:24+01:00,35,80,26.5,"1024.00

"
2022-02-15T00:09:40+01:00,36,80,26.5,"1024.00

"
2022-02-15T00:09:56+01:00,37,80,26.4,"1024.00

"
2022-02-15T00:10:12+01:00,38,80,26.4,"1024.00

"
2022-02-15T00:10:27+01:00,39,80,26.4,"1024.00

"
2022-02-15T00:10:43+01:00,40,80,26.4,"1024.00

"
2022-02-15T00:10:58+01:00,41,80,26.4,"1024.00

"
2022-02-15T00:11:14+01:00,42,80,26.4,"1024.00

"
2022-02-15T00:11:33+01:00,43,80,26.3,"1024.00

"
2022-02-15T00:11:51+01:00,44,80,26.3,"1024.00

"
2022-02-15T00:12:07+01:00,45,80,26.3,"1024.00

"
2022-02-15T00:12:22+01:00,46,80,26.3,"1024.00

"
2022-02-15T00:12:40+01:00,47,80,26.3,"1024.00

"
2022-02-15T00:12:57+01:00,48,80,26.3,"1024.00

"
2022-02-15T00:13:14+01:00,49,80,26.3,"1024.00

"
2022-02-15T00:13:34+01:00,50,80,26.4,"1024.00

"
2022-02-15T00:13:55+01:00,51,80,26.4,"1024.00

"
2022-02-15T00:14:15+01:00,52,80,26.3,"1024.00

"
2022-02-15T00:14:39+01:00,53,80,26.3,"1024.00

"
2022-02-15T00:14:55+01:00,54,80,26.3,"1024.00

"
2022-02-15T00:15:12+01:00,55,80,26.3,"1024.00

"
